code,bgm_id,title,director,企画,製作,publish_date
2023-01-01,406423,スリーピース THE ANIMATION,太多秀太,ふじけん,ピンクパイナップル,2023-01-27
2023-02-01,406869,ヤリ上がり 〜スレ違いのイジワル♥〜,,びまら座,nur,2023-01-27
2023-02-02,406869,ヤリ上がり 〜みこすり半の謹親♥〜,,びまら座,nur,2023-05-26
2023-03-01,406868,おとぎばなしの鬼ごっこ 赤ずきんとケダモノたち,彩野国男,まんぴーす,魔人,2023-01-27
2023-03-02,406868,おとぎばなしの鬼ごっこ アリスの壊れた世界,彩野国男,まんぴーす,魔人,2023-03-31
2023-04-01,393719,いもうとはGALかわいい 属性違いの妹,木之本なつみ,44℃梅毒,メリー・ジェーン,2023-02-03
2023-04-02,393719,いもうとはGALかわいい 妹からのプレゼント,木之本なつみ,44℃梅毒,メリー・ジェーン,2023-07-21
2023-05-01,409258,アオハルスナッチ アオハルスナッチ 1,裏夕涼,キャプテン秋山,Queen Bee,2023-02-17
2023-05-02,409258,アオハルスナッチ アオハルスナッチ 2,裏夕涼,キャプテン秋山,Queen Bee,2023-10-20
2023-06-01,408858,魔女は結局その客と。。。THE ANIMATION 第1巻,太多秀太,ふじけん,ピンクパイナップル,2023-02-24
2023-06-02,408858,魔女は結局その客と。。。THE ANIMATION 第2巻,太多秀太,ふじけん,ピンクパイナップル,2023-10-27
2023-07-01,408958,OVA 母乳ちゃんは射したい。＃1,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2023-03-03
2023-07-02,408958,OVA 母乳ちゃんは射したい。＃2,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2023-03-03
2023-07-03,408958,OVA 母乳ちゃんは射したい。＃3,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2023-04-07
2023-07-04,408958,OVA 母乳ちゃんは射したい。＃4,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2023-04-07
2023-08-01,412305,不貞 with ... THE ANIMATION ～人妻ナンパNTR温泉 旅行先でナカよく種付けされました～,小原和大,ふじけん,ピンクパイナップル,2023-03-31
2023-09-01,409371,OVA クラスで男は僕一人！？ ＃1,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2023-03-03
2023-10-01,409739,いくものがかり The Animation 上巻,SAKAKI,ショーテン,ショーテン,2023-03-31
2023-10-02,409739,いくものがかり The Animation 下巻,SAKAKI,ショーテン,ショーテン,2023-08-25
2023-11-01,412148,ゴブリンの巣穴 第一話 巡礼者 アンヴィル,彩野国男,まんぴーす,魔人,2023-03-31
2023-11-02,412148,ゴブリンの巣穴 第二話 魔女見習い ジェイダ,彩野国男,まんぴーす,魔人,2023-05-26
2023-11-03,412148,ゴブリンの巣穴 第三話 駆け出し冒険者 イラーリ,彩野国男,まんぴーす,魔人,2023-08-25
2023-11-04,412148,ゴブリンの巣穴 第四話 女サムライ サユキ,彩野国男,まんぴーす,魔人,2023-11-24
2023-12-01,417596,告白…… ～生イキ苛めギャルの矜持～,,びまら座,nur,2023-04-28
2023-12-02,417596,告白…… ～ふわパイオトナギャルの覚悟～,,びまら座,nur,2023-09-29
2023-13-01,419839,つるぺた守護騎士 エルフィナ堕ちる ～前編～,伊藤史夫,Blue Bread, Queen Bee,2023-04-14
2023-13-02,419839,つるぺた守護騎士 エルフィナ堕ちる ～後編～,伊藤史夫,Blue Bread, Queen Bee,2023-06-23
2023-14-01,428403,子産み島 ～週7で産めるメスたち～ #1,揉蔵,,セブン,2023-03-28
2023-14-02,428403,子産み島 ～週7で産めるメスたち～ #2,揉蔵,,セブン,2023-05-17
2023-15-01,378107,メイド教育。－没落貴族 瑠璃川椿－ THE ANIMATION,太多秀太,ふじけん,ピンクパイナップル,2023-05-26
2023-16-01,419838,楽園侵触 Island of the dead 上巻,みうらさぶろう,,ショーテン,2023-05-26
2023-17-01,421579,不思議の国のサキュバス 第一話 見た目は美人、喋れば残念？ 食いしん坊淫魔、サキュバスさんの巻,彩野国男,まんぴーす,魔人,2023-05-26
2023-17-02,421579,不思議の国のサキュバス 第二話 ちっちゃい身体にドデカいおっぱい！性悪ぶりっこ淫魔、レッサーインプさんの巻,彩野国男,まんぴーす,魔人,2023-07-28
2023-18-01,430416,Nightmare×Deathscytheー前編ー叛逆のレゾナンス,むらかみてるあき,キャプテン秋山,アニメアンテナ委員会,2023-05-26
2023-18-02,430416,Nightmare×Deathscytheー後編ー叛逆のレゾナンス,むらかみてるあき,キャプテン秋山,アニメアンテナ委員会,2023-12-01
2023-19-01,421743,1LDK＋J系 いきなり同居？密着！？初エッチ！！？ 第1話,太多秀太,,King Bee,2023-07-07
2023-19-02,421743,1LDK＋J系 いきなり同居？密着！？初エッチ！！？ 第2話,太多秀太,,King Bee,2023-10-06
2023-20-01,427071,OVA スケベエルフ探訪記 ＃1,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2023-07-07
2023-20-02,427071,OVA スケベエルフ探訪記 ＃2,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2023-07-07
2023-21-01,445780,魔法少女ノーブル・ローズ THE ANIMATION 第1巻,荒木英樹,キャプテン秋山,No Future,2023-07-14
2023-21-02,445780,魔法少女ノーブル・ローズ THE ANIMATION 第1巻,荒木英樹,キャプテン秋山,No Future,2023-09-15
2023-22-01,431977,くノ一○○伝 紫陽花 第一話 潜入、蒲生邸 媚薬拷問と快楽調教,横山ひろみ,姦三,鈴木みら乃,2023-07-28
2023-22-02,431977,くノ一○○伝 紫陽花 第二話 悪徳商人、越後屋 白濁に咲くは悪の華,横山ひろみ,姦三,鈴木みら乃,2023-09-29
2023-23-01,431978,so_low ～双子姉妹の蔑み～,,びまら座,nur,2023-07-28
2023-23-02,431978,so_low ～双子姉妹の謹み～,,びまら座,nur,2023-12-22
2023-24-01,432482,奥さまの回復術 THE ANIMATION,辰美,ふじけん,ピンクパイナップル,2023-07-28
